T_K,p_Pa,Psat_source_Pa,HK_flux_source_kg_m2_s,volumetric_rate_source_kg_m3_s,Tsat_unclamped_K,Tsat_upstream_1Pa_K,Tsat_selectedFloor_K,Tsat_upstream_error_K,Tsat_selected_error_K
3186.0,1.0,100000.0,60.04176525719014,6004176.525719014,1763.3678787139045,1763.3678787139045,1763.3678787139045,0.0,0.0
3186.0,0.6,100000.0,60.04200542665286,6004200.542665285,1729.1103113446177,1763.3678787139045,1763.3678787139045,34.25756736928679,34.25756736928679
3186.0,0.1,100000.0,60.04230563848127,6004230.563848126,1618.8005434319416,1763.3678787139045,1763.3678787139045,144.56733528196287,144.56733528196287
3186.0,0.01,100000.0,60.04235967661038,6004235.967661038,1496.1414095157436,1763.3678787139045,1763.3678787139045,267.2264691981609,267.2264691981609
3500.0,100000.0,359756.89832666464,148.80370636145747,14880370.636145746,3186.0,3186.0,3186.0,0.0,0.0
3500.0,10000.0,359756.89832666464,200.3608879370138,20036088.79370138,2743.349621819675,2743.349621819675,2743.349621819675,0.0,0.0
3500.0,1000.0,359756.89832666464,205.51660609456945,20551660.609456945,2408.6949648482055,2408.6949648482055,2408.6949648482055,0.0,0.0
3500.0,100.0,359756.89832666464,206.032177910325,20603217.791032497,2146.810667687072,2146.810667687072,2146.810667687072,0.0,0.0
3500.0,10.0,359756.89832666464,206.08373509190056,20608373.509190056,1936.2885495671837,1936.2885495671837,1936.2885495671837,0.0,0.0
3500.0,1.0,359756.89832666464,206.08889081005813,20608889.08100581,1763.3678787139045,1763.3678787139045,1763.3678787139045,0.0,0.0
3500.0,0.6,359756.89832666464,206.08911995308736,20608911.995308734,1729.1103113446177,1763.3678787139045,1763.3678787139045,34.25756736928679,34.25756736928679
3500.0,0.1,359756.89832666464,206.08940638187389,20608940.638187386,1618.8005434319416,1763.3678787139045,1763.3678787139045,144.56733528196287,144.56733528196287
3500.0,0.01,359756.89832666464,206.08945793905545,20608945.793905545,1496.1414095157436,1763.3678787139045,1763.3678787139045,267.2264691981609,267.2264691981609
